,movie_title,release_date,genre,age_rating,total_gross,inflation_adjusted_gross
438,Stick It,2006-04-28,Comedy,+13 & Parent Guidance,26910736,34634731
439,Goal! The Dream Begins,2006-05-12,Drama,Parent Guidance,4283255,5512647
440,Cars,2006-06-09,Comedy,All,244082982,314140384
441,Pirates of the Caribbean: Dead Man’…,2006-07-07,Adventure,+13 & Parent Guidance,423315812,544817142
442,Step Up,2006-08-11,Drama,+13 & Parent Guidance,65328121,84078780
443,Invincible,2006-08-25,Drama,Parent Guidance,57806952,74398864
444,The Guardian,2006-09-29,Action,+13 & Parent Guidance,55011732,70801353
445,The Prestige,2006-10-20,Thriller/Suspense,+13 & Parent Guidance,53089891,68289913
446,Tim Burton's The Nightmare Before Chr…,2006-10-20,Musical,Parent Guidance,24732041,30737517
447,The Santa Clause 3: The Escape Clause,2006-11-03,Comedy,All,84500122,108694869
448,Déjà Vu,2006-11-22,Thriller/Suspense,+13 & Parent Guidance,64038616,82267038
449,Apocalypto,2006-12-08,Adventure,-17 & Parent Guidance,50866635,64959548
450,Primeval,2007-01-12,Adventure,-17 & Parent Guidance,10597734,12985302
451,Bridge to Terabithia,2007-02-16,Drama,Parent Guidance,82234139,100760721
452,Wild Hogs,2007-03-02,Comedy,+13 & Parent Guidance,168213584,206110533
453,Meet the Robinsons,2007-03-30,Adventure,All,97822171,119860589
454,The Lookout,2007-03-30,Drama,-17 & Parent Guidance,4600585,5637048
455,The Hoax,2007-04-06,Drama,-17 & Parent Guidance,7164995,8779196
456,The Invisible,2007-04-27,Thriller/Suspense,+13 & Parent Guidance,20568319,25202168
457,Pirates of the Caribbean: At World’…,2007-05-24,Adventure,+13 & Parent Guidance,309420425,379129960
458,Ratatouille,2007-06-29,Comedy,All,206445654,252955933
459,Underdog,2007-08-03,Adventure,Parent Guidance,43760605,53619462
460,The Game Plan,2007-09-22,Comedy,Parent Guidance,90648202,111010758
461,Dan in Real Life,2007-10-20,Romantic Comedy,+13 & Parent Guidance,47642963,58350234
462,Enchanted,2007-11-21,Romantic Comedy,Parent Guidance,127706877,156074310
463,National Treasure 2: Book of Secrets,2007-12-21,Adventure,Parent Guidance,219961501,267003525
464,Hannah Montana/Miley Cyrus: Best of B…,2008-02-01,Concert/Performance,All,65281781,76646993
465,Step Up 2 the Streets,2008-02-14,Drama,+13 & Parent Guidance,58017783,68118371
466,College Road Trip,2008-03-07,Comedy,All,45610425,53550960
467,The Chronicles of Narnia: Prince Caspian,2008-05-16,Adventure,Parent Guidance,141621490,166277038
468,WALL-E,2008-06-27,Adventure,All,223808164,262771918
469,Swing Vote,2008-08-01,Comedy,+13 & Parent Guidance,16289867,19125841
470,Goal! 2: Living the Dream...,2008-08-29,Drama,+13 & Parent Guidance,225067,264247
471,Miracle at St. Anna,2008-09-26,Drama,-17 & Parent Guidance,7916887,9295171
472,Beverly Hills Chihuahua,2008-10-03,Comedy,Parent Guidance,94514402,110932022
473,Morning Light,2008-10-17,Documentary,Parent Guidance,275093,322979
474,High School Musical 3: Senior Year,2008-10-24,Musical,All,90559416,106308538
475,Bolt,2008-11-21,Comedy,Parent Guidance,114053759,133702498
476,Bedtime Stories,2008-12-25,Comedy,Parent Guidance,110101975,128039679
477,Confessions of a Shopaholic,2009-02-13,Romantic Comedy,Parent Guidance,44277350,49767744
478,Jonas Brothers: The 3D Concert Experi…,2009-02-27,Concert/Performance,All,38174685,38174685
479,Race to Witch Mountain,2009-03-13,Adventure,Parent Guidance,67172594,75501997
480,Hannah Montana the Movie,2009-04-10,Drama,All,79576189,89443640
481,Earth,2009-04-22,Documentary,All,32011576,35981010
482,Up,2009-05-29,Adventure,Parent Guidance,293004164,329336681
483,The Proposal,2009-06-19,Romantic Comedy,+13 & Parent Guidance,163958031,184288829
484,G-Force,2009-07-24,Adventure,Parent Guidance,119436770,134246932
485,Gake no ue no Ponyo,2009-08-14,Adventure,All,15090399,16961607
486,X Games 3D: The Movie,2009-08-21,Documentary,Parent Guidance,1391434,1563976
487,Walt and El Grupo,2009-09-10,Documentary,Parent Guidance,20521,23064
488,Surrogates,2009-09-25,Action,+13 & Parent Guidance,38577772,43361416
489,Toy Story 3D Double Feature,2009-10-02,Adventure,All,30702446,34509545
490,Disney's A Christmas Carol,2009-11-06,Drama,Parent Guidance,137855863,154927105
491,The Princess and the Frog,2009-11-25,Adventure,All,104400899,116316457
492,Old Dogs,2009-11-25,Comedy,Parent Guidance,49492060,55503929
493,When in Rome,2010-01-29,Romantic Comedy,+13 & Parent Guidance,32680633,34917330
494,Alice in Wonderland,2010-03-05,Adventure,Parent Guidance,334191110,357063499
495,Waking Sleeping Beauty,2010-03-26,Documentary,Parent Guidance,80741,86264
496,The Last Song,2010-03-31,Drama,Parent Guidance,62950384,67258772
497,Oceans,2010-04-22,Documentary,All,19422319,20751600
498,Prince of Persia: Sands of Time,2010-05-28,Action,+13 & Parent Guidance,90759676,96971361
499,Toy Story 3,2010-06-18,Adventure,All,415004880,443408255
500,The Sorcerer's Apprentice,2010-07-14,Adventure,Parent Guidance,63150991,67473105
501,Step Up 3D,2010-08-06,Drama,+13 & Parent Guidance,42400223,45302137
502,Gedo Senki (Tales from Earthsea),2010-08-13,Adventure,+13 & Parent Guidance,48658,51988
503,You Again,2010-09-24,Comedy,Parent Guidance,25702053,27461121
504,Secretariat,2010-10-08,Drama,Parent Guidance,59699513,63781920
505,Tangled,2010-11-24,Adventure,Parent Guidance,200821936,214388548
506,Tron: Legacy,2010-12-17,Adventure,Parent Guidance,172062763,183619259
507,Gnomeo and Juliet,2011-02-11,Comedy,All,99967670,106270797
508,I am Number Four,2011-02-18,Adventure,+13 & Parent Guidance,55100437,58574607
509,Mars Needs Moms,2011-03-11,Adventure,Parent Guidance,21392758,22741603
510,African Cats,2011-04-22,Documentary,All,15428747,16401551
511,Zokkomon,2011-04-22,Adventure,Parent Guidance,2815,2984
512,Prom,2011-04-29,Comedy,Parent Guidance,10130219,10768946
513,Pirates of the Caribbean: On Stranger…,2011-05-20,Adventure,+13 & Parent Guidance,241063875,256263359
514,Cars 2,2011-06-24,Adventure,All,191450875,203522177
515,Winnie the Pooh,2011-07-15,Adventure,All,26692846,28375869
516,The Help,2011-08-10,Drama,+13 & Parent Guidance,169705587,180404976
517,Fright Night,2011-08-19,Horror,-17 & Parent Guidance,18298649,19452402
518,Real Steel,2011-10-07,Action,+13 & Parent Guidance,85463309,90848019
519,The Muppets,2011-11-23,Comedy,Parent Guidance,88625922,94189503
520,War Horse,2011-12-25,Drama,+13 & Parent Guidance,79883359,84762149
521,The Secret World of Arietty,2012-02-17,Adventure,All,19192510,20325733
522,John Carter,2012-03-09,Adventure,+13 & Parent Guidance,73058679,77372445
523,Chimpanzee,2012-04-20,Documentary,All,28965459,30675725
524,The Avengers,2012-05-04,Action,+13 & Parent Guidance,623279547,660081224
525,Brave,2012-06-22,Adventure,Parent Guidance,237282182,251292441
526,People Like Us,2012-06-29,Drama,+13 & Parent Guidance,12431792,13165822
527,The Odd Life of Timothy Green,2012-08-15,Drama,Parent Guidance,51853450,54914942
528,Frankenweenie,2012-10-05,Comedy,Parent Guidance,35287788,37363513
529,Wreck-It Ralph,2012-11-02,Adventure,Parent Guidance,189412677,200354959
